RadioId;Experiment;Room;TrackerId;ObjectId;Xr;Yr;Zr;Xrgt;Yrgt;Zrgt
233;30_31_32;LivingRoom;D;Chair;-1.157;-0.238;0.919;-1.244;-0.377;0.557
234;30_31_32;LivingRoom;E;Table.001;-1.241;0.791;0.442;-1.196;0.731;0.348
235;30_31_32;LivingRoom;F;Vase.006;-1.942;-0.732;0.964;-2.09;-0.953;0.866
236;30_31_32;Bathroom;G;Sink;-5.165;-1.025;-0.087;-4.68;-0.967;0.726
237;30_31_32;Bathroom;H;Toilet;-5.585;-0.153;0.197;-5.983;-0.403;0.467
238;30_31_32;Kitchen;I;Sink.001;-8.917;3.607;0.488;-8.803;3.63;0.708
239;30_31_32;Kitchen;J;Shelf.003;-7.402;2.744;1.918;-7.674;2.667;1.837
240;30_31_32;Bedroom;K;Lamp.019;-7.599;0.054;0.15;-7.726;0.053;0.348
241;31_32_33;LivingRoom;D;Chair;-1.14;-0.25;0.886;-1.244;-0.377;0.557
242;31_32_33;LivingRoom;E;Table.001;-1.238;0.763;0.466;-1.196;0.731;0.348
243;31_32_33;LivingRoom;F;Vase.006;-1.924;-0.748;0.869;-2.09;-0.953;0.866
244;31_32_33;Bathroom;G;Sink;-5.107;-1.027;0.018;-4.68;-0.967;0.726
245;31_32_33;Bathroom;H;Toilet;-5.57;-0.063;0.143;-5.983;-0.403;0.467
246;31_32_33;Kitchen;I;Sink.001;-8.904;3.599;0.618;-8.803;3.63;0.708
247;31_32_33;Kitchen;J;Shelf.003;-7.124;2.461;1.883;-7.674;2.667;1.837
248;31_32_33;Bedroom;K;Lamp.019;-7.596;0.065;0.145;-7.726;0.053;0.348
249;32_33_34;LivingRoom;D;Chair;-1.144;-0.254;0.881;-1.244;-0.377;0.557
250;32_33_34;LivingRoom;E;Table.001;-1.254;0.796;0.45;-1.196;0.731;0.348
251;32_33_34;LivingRoom;F;Vase.006;-1.925;-0.8;0.595;-2.09;-0.953;0.866
252;32_33_34;Bathroom;G;Sink;-5.153;-1.02;-0.058;-4.68;-0.967;0.726
253;32_33_34;Bathroom;H;Toilet;-5.587;-0.061;0.136;-5.983;-0.403;0.467
254;32_33_34;Kitchen;I;Sink.001;-8.931;3.476;0.785;-8.803;3.63;0.708
255;32_33_34;Kitchen;J;Shelf.003;-7.402;2.746;1.889;-7.674;2.667;1.837
256;32_33_34;Bedroom;K;Lamp.019;-7.598;0.031;0.181;-7.726;0.053;0.348
257;33_34_35;LivingRoom;D;Chair;-1.128;-0.263;0.913;-1.244;-0.377;0.557
258;33_34_35;LivingRoom;E;Table.001;-1.236;0.781;0.517;-1.196;0.731;0.348
259;33_34_35;LivingRoom;F;Vase.006;-1.917;-0.769;0.669;-2.09;-0.953;0.866
260;33_34_35;Bathroom;G;Sink;-5.146;-1.015;-0.054;-4.68;-0.967;0.726
261;33_34_35;Bathroom;H;Toilet;-5.569;-0.076;0.155;-5.983;-0.403;0.467
262;33_34_35;Kitchen;I;Sink.001;-8.905;3.626;0.501;-8.803;3.63;0.708
263;33_34_35;Kitchen;J;Shelf.003;-7.38;2.695;1.885;-7.674;2.667;1.837
264;33_34_35;Bedroom;K;Lamp.019;-7.654;0.03;0.184;-7.726;0.053;0.348
265;34_35_36;LivingRoom;D;Chair;-1.146;-0.26;0.874;-1.244;-0.377;0.557
266;34_35_36;LivingRoom;E;Table.001;-1.238;0.776;0.513;-1.196;0.731;0.348
267;34_35_36;LivingRoom;F;Vase.006;-1.951;-0.797;0.589;-2.09;-0.953;0.866
268;34_35_36;Bathroom;G;Sink;-5.139;-1.006;-0.062;-4.68;-0.967;0.726
269;34_35_36;Bathroom;H;Toilet;-5.585;-0.037;0.118;-5.983;-0.403;0.467
270;34_35_36;Kitchen;I;Sink.001;-9.27;3.108;0.824;-8.803;3.63;0.708
271;34_35_36;Kitchen;J;Shelf.003;-7.432;2.75;1.886;-7.674;2.667;1.837
272;34_35_36;Bedroom;K;Lamp.019;-7.731;0.105;0.262;-7.726;0.053;0.348
